genre,track_name,preview_url,location,filename,artist,artist_uri,album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
rock,Killing In The Name,,./scrapes/rock/Killing In The Name.mp3,Killing In The Name.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine/Evil Empire,2003,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366
alternative metal,Psychosocial,https://p.scdn.co/mp3-preview/ec1ef486abd160951e4ecaaa513f67243279577d?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Psychosocial.mp3,Psychosocial.mp3,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8,All Hope Is Gone,2008-08-22,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093
double drumming,Psychosocial,https://p.scdn.co/mp3-preview/ec1ef486abd160951e4ecaaa513f67243279577d?cid=b82fb22d072d4120850c99225ff01644,./scrapes/double drumming/Psychosocial.mp3,Psychosocial.mp3,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8,All Hope Is Gone,2008-08-22,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093
nu metal,Psychosocial,https://p.scdn.co/mp3-preview/ec1ef486abd160951e4ecaaa513f67243279577d?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Psychosocial.mp3,Psychosocial.mp3,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8,All Hope Is Gone,2008-08-22,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093
rap metal,Psychosocial,https://p.scdn.co/mp3-preview/ec1ef486abd160951e4ecaaa513f67243279577d?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap metal/Psychosocial.mp3,Psychosocial.mp3,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8,All Hope Is Gone,2008-08-22,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093
alternative metal,Before I Forget,https://p.scdn.co/mp3-preview/835a766a2ae7f61480c38e5b97443520fecc325d?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Before I Forget.mp3,Before I Forget.mp3,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8,Vol. 3: The Subliminal Verses,2004,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724
double drumming,Before I Forget,https://p.scdn.co/mp3-preview/835a766a2ae7f61480c38e5b97443520fecc325d?cid=b82fb22d072d4120850c99225ff01644,./scrapes/double drumming/Before I Forget.mp3,Before I Forget.mp3,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8,Vol. 3: The Subliminal Verses,2004,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724
nu metal,Before I Forget,https://p.scdn.co/mp3-preview/835a766a2ae7f61480c38e5b97443520fecc325d?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Before I Forget.mp3,Before I Forget.mp3,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8,Vol. 3: The Subliminal Verses,2004,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724
rap metal,Before I Forget,https://p.scdn.co/mp3-preview/835a766a2ae7f61480c38e5b97443520fecc325d?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap metal/Before I Forget.mp3,Before I Forget.mp3,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8,Vol. 3: The Subliminal Verses,2004,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724
alternative metal,Lift Me Up (feat. Rob Halford of Judas Priest),https://p.scdn.co/mp3-preview/be310aa769bd7221b89d801f8ca55778ac338215?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Lift Me Up (feat. Rob Halford of Judas Priest).mp3,Lift Me Up (feat. Rob Halford of Judas Priest).mp3,Five Finger Death Punch,spotify:artist:5t28BP42x2axFnqOOMg3CM,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",2013-07-26,0.508,0.988,1,-3.613,0,0.165,8.45e-05,0.0,0.209,0.174,75.018,0.508,0.988,1,-3.613,0,0.165,8.45e-05,0.0,0.209,0.174,75.018
groove metal,Lift Me Up (feat. Rob Halford of Judas Priest),https://p.scdn.co/mp3-preview/be310aa769bd7221b89d801f8ca55778ac338215?cid=b82fb22d072d4120850c99225ff01644,./scrapes/groove metal/Lift Me Up (feat. Rob Halford of Judas Priest).mp3,Lift Me Up (feat. Rob Halford of Judas Priest).mp3,Five Finger Death Punch,spotify:artist:5t28BP42x2axFnqOOMg3CM,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",2013-07-26,0.508,0.988,1,-3.613,0,0.165,8.45e-05,0.0,0.209,0.174,75.018,0.508,0.988,1,-3.613,0,0.165,8.45e-05,0.0,0.209,0.174,75.018
nu metal,Lift Me Up (feat. Rob Halford of Judas Priest),https://p.scdn.co/mp3-preview/be310aa769bd7221b89d801f8ca55778ac338215?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Lift Me Up (feat. Rob Halford of Judas Priest).mp3,Lift Me Up (feat. Rob Halford of Judas Priest).mp3,Five Finger Death Punch,spotify:artist:5t28BP42x2axFnqOOMg3CM,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",2013-07-26,0.508,0.988,1,-3.613,0,0.165,8.45e-05,0.0,0.209,0.174,75.018,0.508,0.988,1,-3.613,0,0.165,8.45e-05,0.0,0.209,0.174,75.018
alternative metal,Fake It,,./scrapes/alternative metal/Fake It.mp3,Fake It.mp3,Seether,spotify:artist:6B5c4sch27tWHAGdarpPaW,Finding Beauty In Negative Spaces (Bonus Track Version),2007-01-01,0.611,0.951,8,-3.515,1,0.0547,0.00148,2.43e-06,0.0501,0.571,132.087,0.611,0.951,8,-3.515,1,0.0547,0.00148,2.43e-06,0.0501,0.571,132.087
nu metal,Fake It,,./scrapes/nu metal/Fake It.mp3,Fake It.mp3,Seether,spotify:artist:6B5c4sch27tWHAGdarpPaW,Finding Beauty In Negative Spaces (Bonus Track Version),2007-01-01,0.611,0.951,8,-3.515,1,0.0547,0.00148,2.43e-06,0.0501,0.571,132.087,0.611,0.951,8,-3.515,1,0.0547,0.00148,2.43e-06,0.0501,0.571,132.087
post-grunge,Fake It,,./scrapes/post-grunge/Fake It.mp3,Fake It.mp3,Seether,spotify:artist:6B5c4sch27tWHAGdarpPaW,Finding Beauty In Negative Spaces (Bonus Track Version),2007-01-01,0.611,0.951,8,-3.515,1,0.0547,0.00148,2.43e-06,0.0501,0.571,132.087,0.611,0.951,8,-3.515,1,0.0547,0.00148,2.43e-06,0.0501,0.571,132.087
south african rock,Fake It,,./scrapes/south african rock/Fake It.mp3,Fake It.mp3,Seether,spotify:artist:6B5c4sch27tWHAGdarpPaW,Finding Beauty In Negative Spaces (Bonus Track Version),2007-01-01,0.611,0.951,8,-3.515,1,0.0547,0.00148,2.43e-06,0.0501,0.571,132.087,0.611,0.951,8,-3.515,1,0.0547,0.00148,2.43e-06,0.0501,0.571,132.087
alternative metal,Absolute Zero,https://p.scdn.co/mp3-preview/983929e901391ec240108eec4f74227566991fc1?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Absolute Zero.mp3,Absolute Zero.mp3,Stone Sour,spotify:artist:49qiE8dj4JuNdpYGRPdKbF,"House of Gold & Bones, Part 1",2012-10-17,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941
nu metal,Absolute Zero,https://p.scdn.co/mp3-preview/983929e901391ec240108eec4f74227566991fc1?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Absolute Zero.mp3,Absolute Zero.mp3,Stone Sour,spotify:artist:49qiE8dj4JuNdpYGRPdKbF,"House of Gold & Bones, Part 1",2012-10-17,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941
post-grunge,Absolute Zero,https://p.scdn.co/mp3-preview/983929e901391ec240108eec4f74227566991fc1?cid=b82fb22d072d4120850c99225ff01644,./scrapes/post-grunge/Absolute Zero.mp3,Absolute Zero.mp3,Stone Sour,spotify:artist:49qiE8dj4JuNdpYGRPdKbF,"House of Gold & Bones, Part 1",2012-10-17,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941
rock,Absolute Zero,https://p.scdn.co/mp3-preview/983929e901391ec240108eec4f74227566991fc1?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rock/Absolute Zero.mp3,Absolute Zero.mp3,Stone Sour,spotify:artist:49qiE8dj4JuNdpYGRPdKbF,"House of Gold & Bones, Part 1",2012-10-17,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941
alternative metal,When Worlds Collide,,./scrapes/alternative metal/When Worlds Collide.mp3,When Worlds Collide.mp3,Powerman 5000,spotify:artist:5imUS9dQyCbAjUEJJ9QyWC,Tonight The Stars Revolt,1999-01-01,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828
funk metal,When Worlds Collide,,./scrapes/funk metal/When Worlds Collide.mp3,When Worlds Collide.mp3,Powerman 5000,spotify:artist:5imUS9dQyCbAjUEJJ9QyWC,Tonight The Stars Revolt,1999-01-01,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828
industrial metal,When Worlds Collide,,./scrapes/industrial metal/When Worlds Collide.mp3,When Worlds Collide.mp3,Powerman 5000,spotify:artist:5imUS9dQyCbAjUEJJ9QyWC,Tonight The Stars Revolt,1999-01-01,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828
industrial rock,When Worlds Collide,,./scrapes/industrial rock/When Worlds Collide.mp3,When Worlds Collide.mp3,Powerman 5000,spotify:artist:5imUS9dQyCbAjUEJJ9QyWC,Tonight The Stars Revolt,1999-01-01,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828
nu metal,When Worlds Collide,,./scrapes/nu metal/When Worlds Collide.mp3,When Worlds Collide.mp3,Powerman 5000,spotify:artist:5imUS9dQyCbAjUEJJ9QyWC,Tonight The Stars Revolt,1999-01-01,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828
rap metal,When Worlds Collide,,./scrapes/rap metal/When Worlds Collide.mp3,When Worlds Collide.mp3,Powerman 5000,spotify:artist:5imUS9dQyCbAjUEJJ9QyWC,Tonight The Stars Revolt,1999-01-01,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828
rap rock,When Worlds Collide,,./scrapes/rap rock/When Worlds Collide.mp3,When Worlds Collide.mp3,Powerman 5000,spotify:artist:5imUS9dQyCbAjUEJJ9QyWC,Tonight The Stars Revolt,1999-01-01,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828
alternative metal,Down with the Sickness,https://p.scdn.co/mp3-preview/a2544551458385f94abd6255b70e104183d301ec?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Down with the Sickness.mp3,Down with the Sickness.mp3,Disturbed,spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,The Sickness (10th Anniversary Edition),2010-03-12,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009
nu metal,Down with the Sickness,https://p.scdn.co/mp3-preview/a2544551458385f94abd6255b70e104183d301ec?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Down with the Sickness.mp3,Down with the Sickness.mp3,Disturbed,spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,The Sickness (10th Anniversary Edition),2010-03-12,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009
rap metal,Down with the Sickness,https://p.scdn.co/mp3-preview/a2544551458385f94abd6255b70e104183d301ec?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap metal/Down with the Sickness.mp3,Down with the Sickness.mp3,Disturbed,spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,The Sickness (10th Anniversary Edition),2010-03-12,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009
alternative metal,Bodies,,./scrapes/alternative metal/Bodies.mp3,Bodies.mp3,Drowning Pool,spotify:artist:1E4r4z7ivGUcSAnCbINJ9v,Sinner,2001,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935
industrial metal,Bodies,,./scrapes/industrial metal/Bodies.mp3,Bodies.mp3,Drowning Pool,spotify:artist:1E4r4z7ivGUcSAnCbINJ9v,Sinner,2001,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935
nu metal,Bodies,,./scrapes/nu metal/Bodies.mp3,Bodies.mp3,Drowning Pool,spotify:artist:1E4r4z7ivGUcSAnCbINJ9v,Sinner,2001,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935
post-grunge,Bodies,,./scrapes/post-grunge/Bodies.mp3,Bodies.mp3,Drowning Pool,spotify:artist:1E4r4z7ivGUcSAnCbINJ9v,Sinner,2001,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935
rap metal,Bodies,,./scrapes/rap metal/Bodies.mp3,Bodies.mp3,Drowning Pool,spotify:artist:1E4r4z7ivGUcSAnCbINJ9v,Sinner,2001,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935
rap rock,Bodies,,./scrapes/rap rock/Bodies.mp3,Bodies.mp3,Drowning Pool,spotify:artist:1E4r4z7ivGUcSAnCbINJ9v,Sinner,2001,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935
wrestling,Bodies,,./scrapes/wrestling/Bodies.mp3,Bodies.mp3,Drowning Pool,spotify:artist:1E4r4z7ivGUcSAnCbINJ9v,Sinner,2001,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935,0.657,0.927,4,-3.398,0,0.077,0.00345,0.00288,0.176,0.595,130.935
alternative metal,Bulls On Parade,https://p.scdn.co/mp3-preview/9a0a212b91ae9561473158a58852f10d91a32440?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Bulls On Parade.mp3,Bulls On Parade.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Evil Empire,1996-04-16,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367
alternative rock,Bulls On Parade,https://p.scdn.co/mp3-preview/9a0a212b91ae9561473158a58852f10d91a32440?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative rock/Bulls On Parade.mp3,Bulls On Parade.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Evil Empire,1996-04-16,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367
conscious hip hop,Bulls On Parade,https://p.scdn.co/mp3-preview/9a0a212b91ae9561473158a58852f10d91a32440?cid=b82fb22d072d4120850c99225ff01644,./scrapes/conscious hip hop/Bulls On Parade.mp3,Bulls On Parade.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Evil Empire,1996-04-16,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367
funk metal,Bulls On Parade,https://p.scdn.co/mp3-preview/9a0a212b91ae9561473158a58852f10d91a32440?cid=b82fb22d072d4120850c99225ff01644,./scrapes/funk metal/Bulls On Parade.mp3,Bulls On Parade.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Evil Empire,1996-04-16,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367
nu metal,Bulls On Parade,https://p.scdn.co/mp3-preview/9a0a212b91ae9561473158a58852f10d91a32440?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Bulls On Parade.mp3,Bulls On Parade.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Evil Empire,1996-04-16,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367
